Name;LOC;Time;PIPs;Paths;Paths vuln;Paths timeout;XSS;SQLi;EVAL;SPECIFICS
FriendsOfPHP_PHP-CS-Fixer.result;116567;00:05:27;0;0;0;0;0;0;0;;
PHPMailer_PHPMailer.result;7022;00:01:37;1;7;7;0;1;0;0;  (xss) sprintf:1,;
renatomarinho_laravel-page-speed.result;900;00:00:22;0;0;0;0;0;0;0;;
interconnectit_Search-Replace-DB.result;5924;00:01:02;0;0;0;0;0;0;0;;
sebastianbergmann_php-token-stream.result;118820;00:01:02;0;0;0;0;0;0;0;;
laravel_socialite.result;1215;00:00:20;0;0;0;0;0;0;0;;
ZoneMinder_zoneminder.result;208372;00:00:20;0;0;0;0;0;0;0;;
bolt_bolt.result;67413;00:03:45;0;0;0;0;0;0;0;;
rlerdorf_php7dev.result;566;00:00:18;0;0;0;0;0;0;0;;
predis_predis.result;33092;00:01:05;0;0;0;0;0;0;0;;
symfony_debug.result;3748;00:00:51;0;0;0;0;0;0;0;;
justinrainbow_json-schema.result;8975;00:00:51;0;0;0;0;0;0;0;;
reactphp_reactphp.result;10;00:00:17;0;0;0;0;0;0;0;;
php-fig_simple-cache.result;23;00:00:19;0;0;0;0;0;0;0;;
laravel_framework.result;131825;00:00:19;0;0;0;0;0;0;0;;
borisrepl_boris.result;1114;00:00:45;0;0;0;0;0;0;0;;
rinvex_countries.result;1972;00:00:22;0;0;0;0;0;0;0;;
danielmiessler_SecLists.result;885;07:17:33;7;200;0;200;7;0;0;  (xss) echo_func:7,;
hprose_hprose-php.result;2074;07:17:33;7;200;0;200;0;0;0;;
squizlabs_PHP_CodeSniffer.result;58554;00:01:57;8;8;8;0;8;0;0;  (xss) echo_func:8,;
easy-swoole_easyswoole.result;1957;00:00:24;0;0;0;0;0;0;0;;
FriendsOfPHP_Goutte.result;22;00:00:19;0;0;0;0;0;0;0;;
area17_twill.result;16678;00:00:42;0;0;0;0;0;0;0;;
ruflin_Elastica.result;27829;00:00:54;0;0;0;0;0;0;0;;
hhxsv5_laravel-s.result;3392;00:01:11;0;0;0;0;0;0;0;;
guzzle_psr7.result;7718;00:00:48;0;0;0;0;0;0;0;;
jenssegers_agent.result;552;00:00:26;0;0;0;0;0;0;0;;
Vuedo_vuedo.result;5797;00:00:29;0;0;0;0;0;0;0;;
itsgoingd_clockwork.result;6202;00:00:46;0;0;0;0;0;0;0;;
symfony_symfony.result;407413;00:00:46;0;0;0;0;0;0;0;;
ApiGen_ApiGen.result;9945;00:00:47;0;0;0;0;0;0;0;;
